파일,번호,한국어 원본,AI 영문 초안,수정 제안,메모
content (홈페이지),32,업력,Our History,,
content (홈페이지),34,공지·소식,Notices & Updates,,
content (홈페이지),35,비하이브의 새 소식과 진행 중인 프로젝트 이야기를 이곳에서 안내드립니다.,New updates from Beehive and stories from projects in progress.,,
content (홈페이지),36,"우리의 이야기, 들어보실래요?",Care to hear our story?,,
content (홈페이지),37,고객 후기,Client Reviews,,
content (홈페이지),38,함께 일해주신 담당자분들이 남겨주신 이야기입니다.,Stories from the partners we've worked with.,,
content (홈페이지),39,후기 남기기,Leave a Review,,
content (홈페이지),40,프로젝트를 준비 중이신가요?,Preparing a project?,,
content (홈페이지),41,"간단한 문항 몇 가지만 답해주시면, 영업일 기준 1~2일 내에 견적을 보내드립니다.",Answer a few short questions and we'll send you a quote within 1–2 business days.,,
content (홈페이지),42,견적 문의하기 →,Request a Quote →,,
content (홈페이지),43,개인정보처리방침,Privacy Policy,,
content (홈페이지),44,대표이사,CEO,,
content (홈페이지),45,사업자등록번호,Business Registration No.,,
content (홈페이지),46,사업영역,Business Areas,,
content (홈페이지),47,대표 사례,Case Study,,
content (홈페이지),48,모바일 앱으로도 만나보세요,Also available on mobile,,
content (홈페이지),49,공지사항,Notices,,
content (홈페이지),50,소식,Updates,,
content (홈페이지),51,바로가기 →,Visit →,,
content (홈페이지),52,10년,10 yrs,,
content (홈페이지),53,통번역 경력,in interpretation & translation,,
content (홈페이지),56,수행 프로젝트,projects delivered,,
content (홈페이지),58,누적 클라이언트,cumulative clients,,
content (홈페이지),59,6년 연속,6 yrs,,
content (홈페이지),60,식약처 ICCR 운영사무국,MFDS ICCR Secretariat,,
content (홈페이지),61,2021~현재,2021~present,,
content (홈페이지),62,6년 연속 식약처 ICCR 국제화장품규제조화협의체 운영사무국 (2021~현재),6 consecutive years as Secretariat of ICCR (International Cooperation on Cosmetics Regulation) for MFDS (2021~present),,
content (홈페이지),63,37회 이상 식품의약품안전처 · 대한화장품협회 전담 웨비나 통역,37+ dedicated webinars interpreted for MFDS & Korea Cosmetic Association,,
content (홈페이지),64,5년 연속 화랑미술제 개막식 동시통역 (2022~2026),5 consecutive years of simultaneous interpretation at Galleries Art Fair opening (2022~2026),,
content (홈페이지),65,그라운드시소 전시회 텍스트 및 도록 번역,Text and catalog translation for Groundseesaw exhibitions,,
content (홈페이지),66,인터브랜드 사내 회의 · 인터뷰 · 행사 동시통역,"Simultaneous interpretation for Interbrand internal meetings, interviews, and events",,
content (홈페이지),67,임선희,Sunhee Yim,,
content (홈페이지),69,대표이사,CEO,,
content (홈페이지),70,"국빈 의전과 생방송 동시통역, 글로벌 브랜드 촬영 현장처럼 대본 밖 상황이 이어지는 자리에서 10년간 통역해 왔습니다. 정부기관 사무국 운영부터 글로벌 캠페인 촬영까지, 언어와 절차를 함께 설계합니다.","Ten years of interpretation across state protocol, live broadcast simultaneous interpretation, and global brand production sets — situations where scripts run out. From secretariat operations for government agencies to global campaign shoots, we design both the language and the process.",,
content (홈페이지),71,성균관대학교 독어독문학 / 경제학과 졸업,"B.A. in German Language & Literature / Economics, Sungkyunkwan University",,
content (홈페이지),72,서울외국어대학원대학교 한영과 졸업,"M.A. in Korean-English Interpretation, Seoul University of Foreign Studies",,
content (홈페이지),73,이화여자대학교 국제컨퍼런스 전문가 과정 수료,"International Conference Specialist Program, Ewha Womans University",,
content (홈페이지),74,US FDA 인허가 대행사 Registrar Corp 한국사무소 대표 역임 (2023–2025),"Head of Korea Office, Registrar Corp (US FDA compliance) — 2023-2025",,
content (홈페이지),76,영어 통역 · 번역 프로젝트 활동 시작,Founding interpretation & translation projects,,
content (홈페이지),77,"KOTRA 수출상담회, MBC 방송 통역, 부산국제영화제 공식 통역사, 하이디스테크놀로지 법무팀 인하우스 통번역","KOTRA export consultations, MBC broadcast interpretation, official interpreter at Busan International Film Festival, in-house translator for HiDis Technology Legal Team",,
content (홈페이지),79,‘비하이브’ 개인사업자 설립,Founded 'Beehive' as a sole proprietorship,,
content (홈페이지),80,"Apple–LG U+ · MAC · Tiffany · Chopard 글로벌 캠페인, 대한항공 접근성 감사 통역","Apple–LG U+ · MAC · Tiffany · Chopard global campaigns, Korean Air accessibility audit interpretation",,
content (홈페이지),82,식약처 ICCR 국제협의체 운영사무국 수주,Awarded MFDS ICCR International Secretariat,,
content (홈페이지),83,식품의약품안전처 · 대한화장품협회 — 현재까지 6년 연속 운영,Ministry of Food and Drug Safety · Korea Cosmetic Association — 6 consecutive years to date,,
content (홈페이지),85,US FDA 인허가 대행사 Registrar Corp 한국사무소 대표 역임,"Head of Korea Office, Registrar Corp (US FDA)",,
content (홈페이지),86,"미국 FDA 인허가 컨설팅 한국 시장 대응, 국내 식품·의약품·화장품 기업의 미국 진출 자문","US FDA compliance consulting for Korean market, advising Korean food/pharma/cosmetics companies on US market entry",,
content (홈페이지),88,주식회사 비하이브코퍼레이션 법인 전환,Incorporated as Beehive Corporation,,
content (홈페이지),89,"스페인 교육부 장관 사절단 수행통역, 수출입은행 ODA, 국제 전시 도록 번역","Interpretation for the Spanish Minister of Education delegation, Export-Import Bank of Korea ODA projects, international exhibition catalog translation",,
content (홈페이지),90,정부 · 공공기관,Government · Public Sector,,
content (홈페이지),91,"통역, 번역, 국제회의, 사무국 운영에서 입찰 · 계약 · 행정 서류까지, 담당자가 바뀌어도 흔들리지 않는 프로젝트 파트너","From interpretation and translation to international conferences and secretariat operations, including bids · contracts · administrative paperwork — a project partner that stays steady even when your point of contact changes.",,
content (홈페이지),92,방송 · 행사 통역,Broadcast · Event Interpretation,,
content (홈페이지),93,방송 · 촬영 · 행사 · CF · 영화 · 인터뷰 — 시나리오와 대본 밖 상황에도 유연하게 대응하며 매끄럽게 진행하는 현장 통역과 실시간 번역,Broadcast · film · events · commercials · interviews — flexible on-site interpretation and live translation that keeps things moving even when the script runs out.,,
content (홈페이지),94,동행 · 수행 출장,Escort · Delegation Services,,
content (홈페이지),95,"기획부터 의전 · 수송 · 보고서까지, 성공적인 국내 국빈 수행 및 해외 출장을 믿고 맡길 수 있는 수행 서비스",From planning to protocol · transportation · reporting — reliable escort services for state protocol and international business trips.,,
content (홈페이지),96,번역 · 출판,Translation · Publishing,,
content (홈페이지),97,"전시회 텍스트 · 도록 · 영화 자막 · 기고문 · 서적 — 정확한 의도 파악과 일정안을 시작으로, 클라이언트 피드백과 전문가 검수로 완성되는 번역","Exhibition texts · catalogs · film subtitles · articles · books — beginning with accurate intent and a clear timeline, refined through client feedback and expert review.",,
content (홈페이지),98,산업 · 전문분야 통역,Industry · Technical Interpretation,,
content (홈페이지),99,"ISO · GMP 인증 감사, 기술 교류, 국제 컨소시엄, 비즈니스, 기업 내부 회의, 입찰 등 전문적인 수준의 통역 및 네트워크 제공","ISO · GMP certification audits, technical exchanges, international consortiums, business meetings, corporate internal reviews, and bids — professional-grade interpretation and network.",,
content (홈페이지),100,교육 양성,Training,,
content (홈페이지),101,영어 발표 · 회의 · 교육의 언어 장벽을 낮추고 트레이닝이 효율적으로 전달 · 학습되도록 비하이브코퍼레이션이 함께합니다.,We lower the language barrier for English presentations · meetings · training so that content is delivered and learned efficiently.,,
content (홈페이지),102,실적으로 검증합니다,Track record verifies us,,
content (홈페이지),103,정부기관 연속 수주와 높은 재계약 체결을 기반으로 정확하고 효율적인 기획 및 계약을 자부합니다.,"Repeated government contracts and high renewal rates back our confidence in accurate, efficient planning and execution.",,
content (홈페이지),104,행정까지 책임집니다,Administration handled,,
content (홈페이지),105,과업 외의 절차가 프로젝트의 품질을 저하시키거나 지연시키지 않도록 법인 단위로 매끄럽게 처리합니다.,We handle out-of-scope procedures at the corporate level so they don't slow down or degrade the project.,,
content (홈페이지),106,현장에서 완성합니다,Completed on-site,,
content (홈페이지),107,"국빈 의전, 생방송 동시통역, 글로벌 브랜드 촬영 현장, 인터뷰 등 대본 밖 상황에 대응하는 것이 실력입니다.","State protocol, live broadcast, global brand shoots, interviews — responding to what's beyond the script is the real skill.",,
content (홈페이지),108,견적 문의,Quote Request,,
content (홈페이지),109,상담 · 계약 · NDA,Consultation · Contract · NDA,,
content (홈페이지),110,사전 브리핑,Pre-briefing,,
content (홈페이지),111,과업 수행,Delivery,,
content (홈페이지),112,결과 보고,Reporting,,
content (홈페이지),113,정산 · 세금계산서 발행,Settlement · Tax Invoice,,
content (홈페이지),115,"구인·구직·협업을 희망하신다면, 팔로우하고 소식을 받아보세요.","For hiring, partnership, and collaboration updates — follow us.",,
content (홈페이지),116,네이버 블로그,Naver Blog,,
content (홈페이지),117,"다양한 클라이언트의 성공 사례가 담긴 생생한 현장을 읽고 싶다면, 블로그를 구독해 주세요.",Read on-site stories and case studies from a range of clients.,,
content (홈페이지),118,카카오톡 채널,KakaoTalk Channel,,
content (홈페이지),119,현재 진행 중인 업무가 있으신가요? 카카오톡 친구추가로 신속한 팔로우업이 가능합니다.,Have a project in progress? Add us on KakaoTalk for fast follow-up.,,
content (홈페이지),120,ICCR 국제화장품규제조화협의체 운영사무국,ICCR (International Cooperation on Cosmetics Regulation) Secretariat,,
content (홈페이지),121,식품의약품안전처 · 대한화장품협회,MFDS · Korea Cosmetic Association,,
content (홈페이지),122,2021 ~ 현재 (6년 연속),2021 ~ present (6 consecutive years),,
content (홈페이지),123,16회기 사무국 · 공동의장 — 정부부처와 국제기구 간 협의체 운영 전반,16th session Secretariat & Co-chair — full operation of the government-international body coordination,,
content (홈페이지),124,"분기 · 연례 · Working Group 회의 영–한 2채널 동시통역, 회의록 작성 및 번역","Quarterly, annual, and Working Group meetings with 2-channel EN-KR simultaneous interpretation, minutes drafting and translation",,
content (홈페이지),125,규제 조항 · 기술문서 · 위해성 평가 · SCCS 의견서 등 규제 전문 번역,"Regulatory clauses, technical documents, safety assessments, SCCS opinions — specialized regulatory translation",,
content (홈페이지),126,세미나 · 웨비나 통역 37회 이상 (2022~2026),37+ seminars and webinars interpreted (2022~2026),,
content (홈페이지),127,글로벌 캠페인 촬영 동시통역,Simultaneous Interpretation on Global Campaign Shoots,,
content (홈페이지),130,국내 최초 촬영장 Zoom 실시간 중계 통역 도입,First on-set Zoom live simultaneous interpretation in Korea,,
content (홈페이지),131,해외 광고주 · 아트디렉터 팀과 한국 제작팀 간 촬영 전 과정 생중계 동시통역,Full-shoot live interpretation between overseas advertisers/art directors and Korean production teams,,
content (홈페이지),132,MAC 아태지역 캠페인 3차에 걸친 기획회의 · 프리라이팅 · 본촬영 통역,"MAC APAC campaign — planning meetings, pre-lighting, and main shoots across three phases",,
content (홈페이지),133,Chopard ‘Happy Project’ 촬영 및 사후 편집회의 동시통역,Chopard 'Happy Project' shoot and post-editing meeting interpretation,,
content (홈페이지),134,그라운드시소 전시회 텍스트 및 도록 번역,Groundseesaw Exhibition Text & Catalog Translation,,
content (홈페이지),135,그라운드시소,Groundseesaw,,
content (홈페이지),137,〈무민 75주년〉 전시 영상 자막 및 텍스트 번역,'Moomin 75th' exhibition video subtitles and text translation,,
content (홈페이지),138,〈모네 인사이드〉 도록 번역 (한→영),'Monet Inside' catalog translation (KR→EN),,
content (홈페이지),139,〈우연히 웨스 앤더슨 2〉 전시 텍스트 · 도록 번역 (영→한),'Accidentally Wes Anderson 2' exhibition text · catalog translation (EN→KR),,
content (홈페이지),140,〈조나단 베르탱〉 전시 텍스트 · 도록 번역 (한↔영),'Jonathan Bertin' exhibition text · catalog translation (KR↔EN),,
content (홈페이지),141,다큐멘터리 〈옥순로그〉 장기 번역 프로젝트,Long-term Translation: Documentary 'Oksun-Log',,
content (홈페이지),142,EIDF · 전주국제영화제,EIDF · Jeonju IFF,,
content (홈페이지),144,제작부터 국제영화제 출품까지 2년의 과정을 함께한 장기 번역,A two-year translation partnership from production through international festival submission,,
content (홈페이지),145,"EIDF 사전제작 멘토링 세션 통역, 트레일러 자막 번역","EIDF pre-production mentoring session interpretation, trailer subtitle translation",,
content (홈페이지),146,내레이션 대본 · 출품 피칭 스크립트 · 카탈로그 번역,Narration scripts · pitching materials · catalog translation,,
content (홈페이지),147,EIDF 서울산업진흥원 다큐멘터리 부문 최우수상 · 2023 전주국제영화제 출품작,Best Documentary Award at EIDF (Seoul Business Agency) · 2023 Jeonju IFF selection,,
content (홈페이지),148,김OO,Kim,,
content (홈페이지),149,사무국장,Secretary-General,,
content (홈페이지),150,정부기관 A,Government Agency A,,
content (홈페이지),151,"회기 운영부터 회의록 번역까지 매끄럽게 이어졌습니다. 담당자가 자주 바뀌는 조직이라 인수인계가 늘 부담이었는데, 비하이브 팀 덕분에 프로세스 자체가 안정됐어요.","From session operations to minutes translation, everything flowed smoothly. Handovers used to be a burden with the frequent staff rotations — thanks to the Beehive team, the process itself became stable.",,
content (홈페이지),152,이OO,Lee,,
content (홈페이지),154,글로벌 브랜드 캠페인,Global Brand Campaign,,
content (홈페이지),155,"촬영 현장은 대본 밖 상황이 늘 생기는데, 통역이 흐름을 끊지 않고 오히려 만들어 주셨습니다. 해외 아트디렉터와 한국 제작팀 사이에서 리듬을 조율해 주신 게 결정적이었어요.","Shoots always have off-script moments, but the interpretation never broke the rhythm — it actually created it. Coordinating tempo between the overseas art director and Korean crew was decisive.",,
content (홈페이지),156,박OO,Park,,
content (홈페이지),157,큐레이터,Curator,,
content (홈페이지),158,미술관·전시 기획,Museum & Exhibition Planning,,
content (홈페이지),159,"도록 번역이 단순히 정확한 게 아니라, 작가의 톤을 그대로 옮겨 주셨어요. 사전 리서치와 전문가 검수를 함께 진행해 주신 덕분에 오픈 일정을 지킬 수 있었습니다.","The catalog translation wasn't just accurate — the artist's tone came through intact. With pre-research and expert review integrated, we hit the opening date without issue.",,
content (홈페이지),160,정OO,Jung,,
content (홈페이지),161,팀장,Team Lead,,
content (홈페이지),162,제약·바이오 기업,Pharmaceutical / Bio,,
content (홈페이지),163,"GMP 감사 통역은 용어 하나가 결과를 바꾸는 자리인데, 사전 브리핑부터 감사 종료까지 흔들림 없이 이끌어 주셨습니다. 다음 감사도 같이 갈 예정입니다.","GMP audit interpretation is where a single term can change the outcome. From pre-briefing to close-out, they carried it without hesitation. We're planning the next audit together.",,
content (홈페이지),164,최OO,Choi,,
content (홈페이지),165,대표,CEO,,
content (홈페이지),166,스타트업 IR,Startup IR,,
content (홈페이지),167,"해외 투자자 대상 IR 자료 번역과 발표 코칭을 함께 받았습니다. 표현 하나하나가 어색하지 않으면서 우리 색깔을 잃지 않아서, 미팅에서 자신감이 붙었어요.",Translation of IR materials for overseas investors and presentation coaching — every phrase felt natural without losing our voice. It gave us confidence in the meeting room.,,
content (홈페이지),169,동행·수행 출장,Escort · Delegation,,
content (홈페이지),170,매번 인맥에 기대지 않아도 되는 프라이빗 동행 서비스,Private escort services — without leaning on personal networks each time,,
content (홈페이지),171,"기획부터 의전 · 수송 · 보고서까지, 성공적인 국빈 및 해외 출장을 믿고 맡길 수 있는 수행 서비스",From planning to protocol · transportation · reporting — reliable escort service for state protocol and international business trips.,,
content (홈페이지),173,프로젝트,Projects,,
content (홈페이지),174,담당자가 바뀌어도 프로젝트는 계속되어야 합니다.,Your project should continue even when the point of contact changes.,,
content (홈페이지),175,"정부기관, 공공기관, 통역, 번역, 국제회의, 사무국 운영에서 입찰 · 계약 · 행정 서류까지, 담당자가 바뀌어도 흔들리지 않는 프로젝트 파트너","For government and public agencies — interpretation, translation, international conferences, and secretariat operations, including bids · contracts · administrative paperwork. A project partner that stays steady through staff transitions.",,
content (홈페이지),176,ICCR 국제화장품규제조화협의체 운영사무국,ICCR (International Cooperation on Cosmetics Regulation) Secretariat,,
content (홈페이지),177,식약처 · 대한화장품협회 · 2021~현재 (6년 연속),MFDS · Korea Cosmetic Association · 2021~present (6 yrs),,
content (홈페이지),179,방송·행사·전문 통역,Broadcast · Event · Technical Interpretation,,
content (홈페이지),180,현장은 실전이니까요.,The field is real-time.,,
content (홈페이지),181,"방송 · 촬영 · 행사 · CF · 영화 · 인터뷰 등 시나리오와 대본 밖 상황에도 유연하게 대응하는 현장 통역과 ISO · GMP 인증 감사, 기술 교류, 국제 컨소시엄, 비즈니스, 기업 내부 회의, 입찰 등 전문분야까지","Broadcast · film · events · commercials · interviews — flexible on-site interpretation for off-script situations. Plus specialized fields: ISO · GMP audits, technical exchanges, international consortiums, business, corporate internal meetings, and bids.",,
content (홈페이지),182,글로벌 캠페인 촬영 동시통역,Simultaneous Interpretation on Global Campaign Shoots,,
content (홈페이지),185,미디어·출판 번역,Media · Publishing Translation,,
content (홈페이지),186,"빠른 납기에도, 격을 잃지 않습니다.","Fast delivery, without losing quality.",,
content (홈페이지),187,"전시회 텍스트 · 도록 · 영화자막 · 기고문 · 서적 — 정확한 의도파악과 일정안을 시작으로, 클라이언트의 피드백과 전문가 검수로 완성되는 번역","Exhibition texts · catalogs · film subtitles · articles · books — beginning with accurate intent and a clear timeline, refined through client feedback and expert review.",,
content (홈페이지),188,그라운드시소 전시회 텍스트 · 도록 번역,Groundseesaw Exhibition Text · Catalog Translation,,
content (홈페이지),189,그라운드시소 · 2020~2025,Groundseesaw · 2020~2025,,
content (홈페이지),190,다큐멘터리 〈옥순로그〉 장기 번역 프로젝트,Long-term Translation: Documentary 'Oksun-Log',,
content (홈페이지),191,EIDF · 전주국제영화제 · 2021~2023,EIDF · Jeonju IFF · 2021~2023,,
content (홈페이지),193,교육 양성,Training,,
content (홈페이지),194,"영어로 진행되는 발표, 회의, 소통, 교육은 더 이상 부담스럽고 어려운 일이 아닙니다.","Presentations, meetings, communication, and training in English no longer have to be a burden.",,
content (홈페이지),195,영어 교육을 포함하여 다양한 트레이닝 프로그램이 효율적으로 전달되고 학습될 수 있도록 비하이브코퍼레이션이 함께합니다.,"Including English education, Beehive Corporation supports the efficient delivery and learning of various training programs.",,
content (홈페이지),197,기타 프로젝트,Other Projects,,
content (홈페이지),198,프로젝트를 준비중이신가요?,Preparing a project?,,
content (홈페이지),199,"절차가 필요한 곳에서 비하이브가 대신 움직입니다. 편하게 문의 주시면, 영업일 기준 1–2일 내로 견적과 함께 연락 드리겠습니다.","Where there's a procedure, Beehive moves on your behalf. Reach out — we'll reply with a quote within 1–2 business days.",,
quote-flow (견적문의),1,라벨|보조설명,라벨|보조설명,,
quote-flow (견적문의),2,인문/사회/역사/철학/문학,Humanities / social sciences / history / philosophy / literature,,
quote-flow (견적문의),3,미술/예술,Fine arts / arts,,
quote-flow (견적문의),4,문화/관광/스포츠,Culture / tourism / sports,,
quote-flow (견적문의),5,비즈니스/무역/마케팅,Business / trade / marketing,,
quote-flow (견적문의),6,IT/정보통신,IT / telecommunications,,
quote-flow (견적문의),7,의학/의료/제약/바이오,Medicine / healthcare / pharmaceuticals / bio,,
quote-flow (견적문의),8,뷰티/미용,Beauty / cosmetics,,
quote-flow (견적문의),9,컴플라이언스/법률/법무/인허가/거버넌스,Compliance / legal / regulatory / licensing / governance,,
quote-flow (견적문의),10,엔터테인먼트/방송/영상/콘텐츠,Entertainment / broadcasting / film / content,,
quote-flow (견적문의),11,출판/교육,Publishing / education,,
quote-flow (견적문의),12,기타,Other,,
quote-flow (견적문의),13,경제/경영,Economics / management,,
quote-flow (견적문의),14,항만/물류/유통,Ports / logistics / distribution,,
quote-flow (견적문의),15,건설/건축,Construction / architecture,,
quote-flow (견적문의),16,환경/기후/수자원,Environment / climate / water resources,,
quote-flow (견적문의),17,식품/생필품/농림,Food / consumer goods / agriculture,,
quote-flow (견적문의),18,전기/전자,Electrical / electronics,,
quote-flow (견적문의),19,자동차/기계/화학,Automotive / machinery / chemicals,,
quote-flow (견적문의),20,게임/미디어,Games / media,,
quote-flow (견적문의),21,금융/보험/세무회계,Finance / insurance / tax and accounting,,
quote-flow (견적문의),22,물리/화학/해양,Physics / chemistry / marine,,
quote-flow (견적문의),23,의류/섬유/패션,Apparel / textiles / fashion,,
quote-flow (견적문의),24,직접 입력,직접 입력,,
quote-flow (견적문의),25,직접 입력,Enter manually,,
quote-flow (견적문의),26,1명,1 person,,
quote-flow (견적문의),27,2~3명,2-3 people,,
quote-flow (견적문의),28,4~6명,4-6 people,,
quote-flow (견적문의),29,7~10명,7-10 people,,
quote-flow (견적문의),30,11명 이상,11 or more,,
quote-flow (견적문의),31,100만원 미만,Under 1M KRW,,
quote-flow (견적문의),32,100~300만원,1M-3M KRW,,
quote-flow (견적문의),33,300~500만원,3M-5M KRW,,
quote-flow (견적문의),34,"500~1,000만원",5M-10M KRW,,
quote-flow (견적문의),35,"1,000~3,000만원",10M-30M KRW,,
quote-flow (견적문의),36,"3,000만원 이상",30M KRW or more,,
quote-flow (견적문의),37,1개월 이내,Within 1 month,,
quote-flow (견적문의),38,1~3개월,1-3 months,,
quote-flow (견적문의),39,3~6개월,3-6 months,,
quote-flow (견적문의),40,6개월~1년,6 months - 1 year,,
quote-flow (견적문의),41,1년 이상,1 year or more,,
quote-flow (견적문의),42,미정,Undecided,,
quote-flow (견적문의),43,반일 (4시간 이내),Half day (within 4 hours),,
quote-flow (견적문의),44,1일 (8시간 이내),1 day (within 8 hours),,
quote-flow (견적문의),45,2~3일,2-3 days,,
quote-flow (견적문의),46,1주일 이상,1 week or more,,
quote-flow (견적문의),47,A4 10장 이내,Up to 10 A4 pages,,
quote-flow (견적문의),48,A4 10~30장,10-30 A4 pages,,
quote-flow (견적문의),49,A4 30~100장,30-100 A4 pages,,
quote-flow (견적문의),50,A4 100장 이상,100+ A4 pages,,
quote-flow (견적문의),51,영상 30분 이내,Up to 30 minutes of video,,
quote-flow (견적문의),52,영상 30~120분,30-120 minutes of video,,
quote-flow (견적문의),53,영상 120분 이상,120+ minutes of video,,
quote-flow (견적문의),54,아직 모름,Not sure yet,,
quote-flow (견적문의),55,기타,기타,,
quote-flow (견적문의),56,분야를 선택해 주세요.,Please select a field.,,
quote-flow (견적문의),57,직접 입력,Enter manually,,
quote-flow (견적문의),58,분야를 적어주세요,Please describe the field,,
quote-flow (견적문의),59,예산 범위가 있으신가요?,Do you have a target budget range?,,
quote-flow (견적문의),60,미정 — 견적을 받아보고 싶어요,Undecided — I'd like to receive a quote first,,
quote-flow (견적문의),61,예산 범위가 있어요,I have a budget range,,
quote-flow (견적문의),62,예산 범위,Budget range,,
quote-flow (견적문의),63,예: 300~500만원,"e.g., 3M-5M KRW",,
quote-flow (견적문의),64,기밀유지계약(NDA)이 필요한가요?,Do you require a non-disclosure agreement (NDA)?,,
quote-flow (견적문의),65,필요합니다,"Yes, required",,
quote-flow (견적문의),66,필요하지 않습니다,Not required,,
quote-flow (견적문의),67,아직 모르겠습니다,Not sure yet,,
quote-flow (견적문의),69,동행·수행 출장,Executive escort & business trips,,
quote-flow (견적문의),70,매번 인맥에 기대지 않아도 되는 프라이빗 동행 서비스,Private escort interpretation you can rely on without falling back on personal networks,,
quote-flow (견적문의),72,프로젝트,Projects,,
quote-flow (견적문의),73,담당자가 바뀌어도 프로젝트는 계속되어야 합니다,"Your project should keep moving forward, even when your point of contact changes",,
quote-flow (견적문의),75,방송·행사·전문 통역,"Broadcast, events & specialist interpretation",,
quote-flow (견적문의),76,현장은 실전이니까요,Because the field is where it really counts,,
quote-flow (견적문의),78,미디어·출판 번역,Media & publishing translation,,
quote-flow (견적문의),79,"빠른 납기에도, 격을 잃지 않습니다",Fast turnaround without compromising on quality,,
quote-flow (견적문의),81,교육 양성,Training & education,,
quote-flow (견적문의),82,영어로 진행되는 발표·회의·소통·교육의 언어 장벽을 낮춥니다,"Lowering language barriers in English-language presentations, meetings, communications and training",,
quote-flow (견적문의),84,기타 프로젝트,Other projects,,
quote-flow (견적문의),85,절차가 필요한 곳에서 비하이브가 대신 움직입니다,Beehive steps in wherever formal procedures are required,,
quote-flow (견적문의),92,출장 일정을 알려주세요.,Please share your trip schedule.,,
quote-flow (견적문의),93,대략적인 일정도 괜찮습니다.,An approximate schedule is fine.,,
quote-flow (견적문의),94,"대략적인 일정과 기간을 알려주시면, 가능한 일정을 제안드립니다.","Let us know your rough schedule and duration, and we'll propose available dates.",,
quote-flow (견적문의),95,대략적인 일정·기간,Approximate schedule & duration,,
quote-flow (견적문의),96,"예: 10월 중순경, 3~4일","e.g., mid-October, 3-4 days",,
quote-flow (견적문의),97,어느 지역인가요?,Which region?,,
quote-flow (견적문의),98,국내,Domestic (Korea),,
quote-flow (견적문의),99,해외,Overseas,,
quote-flow (견적문의),100,수도권,Seoul metropolitan area,,
quote-flow (견적문의),101,지방,Regional,,
quote-flow (견적문의),102,국가·도시,Country & city,,
quote-flow (견적문의),103,예: 미국 라스베거스,"e.g., Las Vegas, USA",,
quote-flow (견적문의),104,수행 대상을 알려주세요.,Who will the interpreter accompany?,,
quote-flow (견적문의),105,개인,Individual,,
quote-flow (견적문의),106,그룹,Group,,
quote-flow (견적문의),107,인원수,Number of people,,
quote-flow (견적문의),108,예: 6명,"e.g., 6 people",,
quote-flow (견적문의),109,교통편·숙소 제공 여부를 알려주세요.,Will transportation and accommodation be provided?,,
quote-flow (견적문의),110,수행 인력의 이동·체류 기준입니다.,This refers to travel and lodging for our interpreter(s).,,
quote-flow (견적문의),111,교통편·숙소 모두 제공됩니다,Both transportation and accommodation will be provided,,
quote-flow (견적문의),112,별도로 제공되어야 합니다,They need to be arranged separately,,
